Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,486.40,487.80,443.10,446.45,38879300,436.604
2016-10-24,494.00,498.45,483.008,492.15,27903400,481.297
2016-10-17,489.45,493.70,482.23,492.75,25447900,481.883
2016-10-10,484.45,498.45,480.85,489.50,32118500,478.705
2016-10-03,450.85,486.65,449.45,486.00,43272100,475.282
2016-09-26,430.90,453.25,426.30,450.00,28917900,440.076
2016-09-19,424.10,439.55,422.50,436.90,24112200,427.265
2016-09-12,427.05,432.985,411.60,420.40,38381700,411.129
2016-09-05,432.20,439.70,425.75,432.15,21783700,422.62
2016-08-29,434.85,434.85,416.50,431.00,26404300,421.495
2016-08-22,433.85,435.90,424.985,434.85,24843700,425.26
2016-08-15,431.95,440.30,430.85,434.35,23912500,424.771
2016-08-08,421.20,437.75,417.20,432.70,30707800,423.158
2016-08-01,431.80,433.10,408.627,419.35,38045100,410.102
2016-07-25,451.45,453.60,421.60,426.85,36449400,409.834
2016-07-18,455.85,456.40,445.65,452.10,20801200,434.078
2016-07-11,459.85,464.40,450.675,457.15,35757500,438.927
2016-07-04,447.25,459.15,440.10,457.00,39543700,438.783
2016-06-27,393.70,445.85,385.00,445.40,52046900,427.645
2016-06-20,377.55,399.00,355.00,393.65,44912400,377.958
2016-06-13,366.30,375.82,356.85,373.15,43468100,358.275
2016-06-06,362.70,378.65,362.55,370.75,30594700,355.971
2016-05-30,361.95,362.90,349.35,358.55,30560600,344.257
2016-05-23,360.55,369.60,355.55,361.95,30244000,347.522
2016-05-16,362.50,370.15,355.00,361.50,28838000,347.089
2016-05-09,359.613,370.00,351.30,362.50,31561600,348.05
2016-05-02,373.75,377.50,350.75,360.80,26771300,346.417
2016-04-25,368.50,388.396,358.00,373.75,43811900,352.005
2016-04-18,348.95,369.964,249.435,368.30,38917500,346.872
2016-04-11,351.30,367.40,348.55,355.95,39330200,335.241
2016-04-04,342.90,350.90,335.075,350.35,31656600,329.966
2016-03-28,353.35,360.60,338.186,343.80,29908800,323.798
2016-03-21,354.95,362.20,347.55,353.35,22049500,332.792
2016-03-14,349.45,362.55,335.619,357.00,38265200,336.23
2016-03-07,365.05,368.35,343.15,348.40,43254000,328.13
2016-02-29,347.00,371.155,344.65,367.90,39321800,346.495
2016-02-22,347.60,358.90,332.556,349.55,37844400,329.213
2016-02-15,339.60,352.30,310.00,343.25,42581000,323.28
2016-02-08,352.90,353.40,309.10,332.50,45279400,313.155
2016-02-01,379.45,381.80,324.55,350.65,57366600,323.233
2016-01-25,352.80,378.80,338.00,376.10,49939700,346.693
2016-01-18,336.65,357.80,325.10,352.70,51447100,325.123
2016-01-11,329.05,353.10,322.40,338.15,50628100,311.711
2016-01-04,351.25,353.45,324.60,328.70,36074200,303.00
2015-12-28,365.95,365.95,352.606,354.00,12428500,326.321
2015-12-21,339.50,366.30,335.20,365.95,18729300,337.337
2015-12-14,338.45,346.65,328.80,339.30,38078600,312.771
2015-12-07,356.25,358.20,337.10,338.00,33918000,311.572
2015-11-30,384.80,389.00,356.80,359.70,33832400,331.576
2015-11-23,375.00,390.90,372.70,386.55,27264500,356.326
2015-11-16,362.35,389.95,362.348,381.30,31537400,351.487
2015-11-09,386.20,392.30,360.35,364.50,26587400,336.00
2015-11-02,386.40,411.50,380.85,386.50,34790700,356.28
2015-10-26,386.75,393.95,376.75,386.40,41757100,350.311
2015-10-19,383.65,395.05,370.953,388.10,27826400,351.852
2015-10-12,390.75,393.30,375.30,384.00,27101800,348.135
2015-10-05,359.85,397.30,356.05,391.60,43802200,355.025
2015-09-28,333.60,353.00,319.90,351.45,36157100,318.625
2015-09-21,331.00,336.397,321.70,333.30,33416800,302.17
2015-09-14,335.90,347.362,328.45,333.45,47969700,302.306
2015-09-07,339.80,347.551,333.05,333.50,33691000,302.351
2015-08-31,360.50,363.746,252.55,337.90,38106500,306.341
2015-08-24,345.15,362.85,326.25,360.50,66089200,326.83
2015-08-17,380.00,381.00,357.20,357.20,29719400,323.838
2015-08-10,386.40,391.75,376.20,379.25,40919400,343.828
2015-08-03,392.70,397.35,380.15,385.60,37788100,349.585
2015-07-27,393.60,405.85,383.00,395.45,39808400,352.572
2015-07-20,418.00,420.65,394.10,394.70,29120700,351.904
2015-07-13,433.25,433.25,415.45,416.95,24879100,371.741
2015-07-06,429.65,434.65,416.80,427.00,31126700,380.701
2015-06-29,428.80,445.05,417.993,434.40,38509800,387.299
2015-06-22,436.05,447.50,434.55,437.55,20543000,390.107
2015-06-15,436.00,446.637,429.30,431.35,29623600,384.58
2015-06-08,444.20,449.20,436.40,437.60,24747700,390.152
2015-06-01,452.25,456.023,435.40,443.35,26987900,395.279
2015-05-25,457.75,458.50,449.25,450.75,21175600,401.876
2015-05-18,450.65,461.65,445.55,457.75,26682700,408.117
2015-05-11,460.55,467.313,449.98,452.40,27988700,403.347
2015-05-04,468.60,481.85,454.40,461.30,27761900,411.282
2015-04-27,477.35,485.85,465.20,468.60,38982500,412.027
2015-04-20,479.75,487.50,475.00,478.40,33070500,420.644
2015-04-13,470.20,480.00,465.097,479.35,36856100,421.479
2015-04-06,442.85,476.35,442.85,472.25,39959900,415.236
2015-03-30,446.35,448.10,418.736,442.85,22379400,389.386
2015-03-23,449.05,458.95,431.778,443.60,35234800,390.045
2015-03-16,421.60,451.00,404.05,451.00,51449700,396.552
2015-03-09,445.15,448.35,415.988,418.25,30924300,367.756
2015-03-02,447.70,499.25,441.957,447.00,31069100,393.035
2015-02-23,450.00,462.978,440.85,448.05,25099000,393.958
2015-02-16,454.20,458.15,440.20,446.70,29184500,392.771
2015-02-09,449.35,458.75,439.16,454.20,38778800,399.366
2015-02-02,430.45,463.10,426.35,450.60,46075100,390.272
2015-01-26,428.00,445.68,417.525,424.45,42612400,367.623
2015-01-19,413.70,435.95,404.098,432.40,36579100,374.509
2015-01-12,399.20,414.858,376.70,413.35,45694800,358.009
2015-01-05,408.00,409.536,382.70,398.65,40193100,345.278
2014-12-29,418.90,419.95,404.15,410.45,12865100,355.498
2014-12-22,420.00,427.086,410.55,416.85,14148500,361.041
2014-12-15,384.90,416.90,364.40,413.00,67672300,357.706
2014-12-08,423.35,425.00,385.611,385.65,44608300,334.018
2014-12-01,414.00,439.80,408.85,424.50,37447300,367.667
2014-11-24,450.00,452.454,408.80,420.20,32891900,363.942
2014-11-17,431.05,450.80,429.30,448.20,25101700,388.194
2014-11-10,438.90,442.65,418.754,431.80,26735100,373.989
2014-11-03,447.65,449.95,428.258,441.30,34450200,382.217
