Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,2185.50,2194.50,2049.50,2058.50,4613700,2058.50
2016-10-24,2188.50,2219.00,2165.00,2187.50,4684000,2187.50
2016-10-17,2189.50,2203.00,2161.50,2178.50,4309900,2178.50
2016-10-10,2241.50,2253.00,2184.50,2190.00,5016700,2190.00
2016-10-03,2222.00,2286.50,2210.50,2231.50,6159100,2231.50
2016-09-26,2224.00,2232.00,2197.50,2210.50,3408500,2210.50
2016-09-19,2134.50,2225.00,2109.07,2225.00,4168000,2225.00
2016-09-12,2063.00,2137.50,2047.00,2121.00,4715300,2121.00
2016-09-05,2154.00,2154.00,2074.50,2080.00,3108600,2080.00
2016-08-30,2152.00,2156.00,2078.50,2146.50,4644000,2146.50
2016-08-22,2186.00,2186.00,2126.17,2151.50,2206200,2151.50
2016-08-15,2188.00,2214.60,2161.00,2178.50,2651200,2178.50
2016-08-08,2174.00,2191.50,2152.00,2181.00,3011200,2181.00
2016-08-01,2184.00,2193.00,2093.50,2180.00,4547600,2143.592
2016-07-25,2131.00,2218.00,2128.00,2161.00,5266900,2124.909
2016-07-18,2108.00,2140.00,2088.00,2138.50,4053100,2102.785
2016-07-11,2149.00,2167.50,1896.15,2098.00,6463500,2062.962
2016-07-04,2118.50,2185.50,2098.00,2143.50,6007700,2107.702
2016-06-27,1867.50,2112.50,1865.00,2107.00,8360700,2071.811
2016-06-20,1798.00,1925.50,1765.00,1878.00,7112500,1846.636
2016-06-13,1800.00,1823.00,1737.00,1770.00,7616500,1740.439
2016-06-06,1867.50,1885.83,1796.50,1811.00,3555500,1780.755
2016-05-30,1883.00,1893.50,1845.50,1861.50,3210000,1830.411
2016-05-23,1840.00,1883.19,1826.00,1883.00,2703400,1851.552
2016-05-16,1883.00,1897.00,1808.50,1838.00,3255500,1807.304
2016-05-09,1886.75,1910.18,1863.50,1894.00,2771400,1862.369
2016-05-02,1846.00,1876.50,1841.50,1872.00,2885200,1840.736
2016-04-25,1895.00,1909.00,1838.00,1846.00,3784500,1815.17
2016-04-18,1923.50,1955.50,1885.50,1892.50,3874100,1860.894
2016-04-11,1915.00,1944.00,1882.00,1933.00,3000800,1900.717
2016-04-04,1889.50,1927.00,1872.95,1912.00,3658600,1880.068
2016-03-28,1869.00,1907.50,1844.00,1886.50,2589100,1854.994
2016-03-21,1861.00,1893.50,1836.00,1869.00,3382400,1837.786
2016-03-14,1875.00,1911.50,1864.50,1868.50,4159900,1837.294
2016-03-07,1874.50,1902.50,1840.50,1873.00,3299700,1841.719
2016-02-29,1867.50,1886.00,1842.15,1874.00,4617100,1842.703
2016-02-22,1841.50,1899.50,1838.50,1865.00,3687400,1833.853
2016-02-15,1775.00,1839.50,1762.50,1828.50,3454700,1776.216
2016-02-08,1806.00,1814.00,1724.50,1758.00,5344700,1707.732
2016-02-01,1889.00,1920.00,1794.50,1796.50,5809000,1745.131
2016-01-25,1857.50,1885.00,1819.50,1884.50,6490800,1830.614
2016-01-18,1791.00,1866.00,1768.00,1857.50,4618400,1804.386
