Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,1623.50,1634.50,1517.81,1528.50,11096600,1528.50
2016-10-24,1668.00,1670.00,1592.25,1627.50,13152000,1608.252
2016-10-17,1680.50,1690.00,1649.00,1658.50,9342500,1638.885
2016-10-10,1716.00,1745.56,1683.50,1691.00,7995100,1671.001
2016-10-03,1652.50,1716.18,1636.00,1709.00,10260900,1688.788
2016-09-26,1648.00,1671.00,1625.85,1643.00,6419800,1623.568
2016-09-19,1627.50,1656.42,1622.62,1653.00,6788800,1633.45
2016-09-12,1584.00,1638.50,1581.50,1616.00,9256100,1596.888
2016-09-05,1652.00,1693.00,1594.50,1599.50,6364400,1580.583
2016-08-29,1649.50,1661.50,1597.00,1655.00,7305300,1635.426
2016-08-22,1671.50,1678.50,1628.92,1649.50,5958500,1629.991
2016-08-15,1696.50,1714.88,1665.00,1668.50,6066500,1648.767
2016-08-08,1690.00,1716.50,1664.00,1691.00,8105700,1671.001
2016-08-01,1687.50,1715.93,1648.00,1694.50,8045900,1655.717
2016-07-25,1667.50,1716.50,1650.25,1688.00,8594600,1649.366
2016-07-18,1650.00,1677.43,1634.12,1659.50,6463800,1621.518
2016-07-11,1661.50,1690.28,1625.00,1650.00,10253900,1612.236
2016-07-04,1602.00,1674.50,1592.50,1652.50,10076100,1614.678
2016-06-27,1465.00,1621.00,1462.50,1600.00,14816300,1563.38
2016-06-20,1405.50,1500.00,1363.00,1482.00,12880100,1448.081
2016-06-13,1408.00,1430.18,1382.40,1387.50,9093800,1355.744
2016-06-06,1460.00,1481.25,1404.18,1413.50,7419700,1381.148
2016-05-30,1452.50,1474.00,1435.00,1459.00,6355800,1425.607
2016-05-23,1438.50,1458.64,1429.00,1452.50,5733000,1419.256
2016-05-16,1447.50,1479.61,1407.50,1436.00,7093200,1403.134
2016-05-09,1450.50,1481.00,1432.00,1453.00,6527700,1419.744
2016-05-02,1459.00,1480.00,1433.50,1440.00,5755800,1388.917
2016-04-25,1486.50,1500.00,1442.50,1459.00,8353200,1407.243
2016-04-18,1498.00,1514.50,1476.50,1485.00,7257600,1432.321
2016-04-11,1469.00,1532.10,1455.50,1506.00,7824800,1452.576
2016-04-04,1414.50,1484.00,1405.00,1471.50,8171400,1419.30
2016-03-28,1389.50,1420.00,1379.50,1414.50,7222600,1364.322
2016-03-21,1383.00,1436.58,1365.50,1389.50,8631500,1340.209
2016-03-14,1403.50,1437.00,1379.00,1385.00,9950600,1335.868
2016-03-07,1367.00,1421.50,1362.00,1398.00,7726000,1348.407
2016-02-29,1407.50,1419.50,1363.50,1370.00,10320700,1321.401
2016-02-22,1397.50,1425.50,1355.00,1410.50,7288800,1360.464
2016-02-15,1396.50,1437.00,1367.50,1383.50,8797600,1334.422
2016-02-08,1405.50,1410.26,1314.26,1363.50,11031700,1293.89
2016-02-01,1450.00,1464.50,1398.50,1401.00,10536700,1329.475
2016-01-25,1397.00,1439.00,1382.50,1439.00,11211800,1365.535
