Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,619.20,622.30,588.30,594.80,34598500,594.80
2016-10-24,626.60,637.056,615.187,624.50,30802000,624.50
2016-10-17,614.60,626.60,612.10,626.40,29970400,626.40
2016-10-10,620.00,626.30,604.00,619.60,35364100,609.682
2016-10-03,580.30,620.20,570.95,619.50,41019400,609.583
2016-09-26,575.70,581.50,566.70,578.70,33170700,569.436
2016-09-19,576.00,594.50,570.20,574.30,34874500,565.107
2016-09-12,571.30,574.462,556.50,566.70,44746200,557.628
2016-09-05,580.10,583.90,564.90,578.00,35556500,568.748
2016-08-29,546.90,588.30,546.90,580.90,38859700,571.601
2016-08-22,542.70,549.419,537.20,546.90,19112400,538.145
2016-08-15,544.00,549.80,539.404,543.20,25786100,534.505
2016-08-08,535.60,555.00,528.72,545.00,26122700,536.276
2016-08-01,495.90,532.21,482.05,530.40,38203200,514.561
2016-07-25,493.00,499.65,489.15,495.10,20346000,480.316
2016-07-18,482.65,497.35,479.745,493.60,23864200,478.86
2016-07-11,475.05,482.95,439.734,479.30,30769900,464.987
2016-07-04,468.00,473.25,458.70,470.80,31154000,456.741
2016-06-27,448.00,474.95,432.15,469.85,54420300,455.82
2016-06-20,441.75,457.55,392.371,447.95,56475100,434.574
2016-06-13,430.30,436.678,419.30,431.20,44670200,418.324
2016-06-06,444.90,452.55,431.40,433.75,25788500,420.798
2016-05-30,448.45,456.10,440.00,444.80,26570900,431.518
2016-05-23,428.10,449.25,424.60,448.45,25665800,435.059
2016-05-16,428.70,439.20,425.20,429.25,31245700,416.432
2016-05-09,436.83,438.10,420.35,430.00,22112700,409.935
2016-05-02,452.50,465.90,424.65,431.75,23800200,411.603
2016-04-25,465.30,473.45,452.50,452.50,28702300,431.385
2016-04-18,444.85,476.85,440.75,466.50,32601200,444.732
2016-04-11,419.15,453.65,414.481,450.50,31299500,429.479
2016-04-04,431.55,433.70,413.95,418.00,27869000,398.495
2016-03-28,438.30,440.90,427.50,432.00,27511000,411.842
2016-03-21,451.55,453.85,437.55,438.30,30655800,417.848
2016-03-14,454.40,459.20,442.55,448.80,32275700,427.858
2016-03-07,449.60,470.25,443.40,451.35,37646700,430.289
2016-02-29,460.00,476.85,450.40,453.55,43488500,432.386
2016-02-22,440.00,467.95,425.50,467.35,35507900,431.569
2016-02-15,445.60,459.25,435.70,449.85,26277100,415.409
2016-02-08,457.60,463.32,420.15,440.40,44083100,406.682
2016-02-01,493.35,496.95,444.45,457.85,39635300,422.796
2016-01-25,482.15,492.30,462.50,492.30,32688500,454.608
2016-01-18,486.00,492.85,461.80,479.55,35091800,442.835
2016-01-11,499.15,513.00,481.55,485.70,31206300,448.514
2016-01-04,528.00,530.00,497.15,499.10,32645000,460.888
2015-12-28,541.30,544.60,534.10,536.20,7151900,495.147
2015-12-21,527.70,541.90,525.50,541.30,8238200,499.857
2015-12-14,501.60,536.90,492.30,529.20,30295400,488.683
2015-12-07,527.30,527.40,498.00,498.00,22203800,459.872
2015-11-30,531.90,543.40,518.80,523.30,21970400,483.235
2015-11-23,531.70,541.13,517.676,534.90,18051000,493.947
2015-11-16,510.70,532.30,508.20,531.10,21295000,490.438
2015-11-09,531.00,538.20,510.60,513.20,22839200,473.908
2015-11-02,503.20,531.20,498.75,527.80,25054700,487.39
2015-10-26,516.20,518.60,505.60,507.60,16006000,468.737
2015-10-19,520.20,523.20,503.40,518.00,18605500,478.341
2015-10-12,531.60,532.70,514.60,521.00,23709700,474.918
2015-10-05,515.00,535.236,510.70,532.20,21715300,485.127
2015-09-28,502.80,514.20,481.50,507.70,23440300,462.794
2015-09-21,493.05,506.10,485.85,503.60,30046700,459.057
