Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,2049.00,2131.00,2006.00,2016.50,6848400,1970.392
2016-10-24,2081.00,2099.00,2027.00,2071.00,4696700,2023.646
2016-10-17,2077.00,2088.50,2045.50,2076.00,3994800,2028.531
2016-10-10,2076.00,2140.00,2049.82,2084.50,5949800,2036.837
2016-10-03,1930.00,2089.10,1925.00,2068.50,7420600,2021.203
2016-09-26,1843.00,1925.00,1791.00,1914.00,6696400,1870.235
2016-09-19,1818.50,1881.50,1818.00,1865.00,5314000,1822.356
2016-09-12,1850.00,1862.50,1792.50,1798.50,8685000,1757.376
2016-09-05,1873.50,1922.50,1853.00,1880.00,4659400,1837.013
2016-08-29,1895.50,1910.00,1812.00,1870.50,6264800,1827.73
2016-08-22,1920.00,1971.67,1863.50,1895.50,5265000,1852.158
2016-08-15,1925.00,1957.00,1913.00,1926.50,7187100,1882.45
2016-08-08,1907.50,1966.25,1855.50,1919.00,4993500,1875.121
2016-08-01,1947.00,1971.77,1828.00,1899.00,7424500,1821.43
2016-07-25,2082.00,2089.50,1915.50,1944.00,7480700,1864.591
2016-07-18,2083.50,2112.50,2054.50,2092.00,3496300,2006.546
2016-07-11,2115.50,2127.40,2053.50,2085.50,6193600,2000.311
2016-07-04,2077.50,2116.00,2042.50,2102.00,7041600,2016.137
2016-06-27,1868.50,2080.50,1852.00,2076.00,8069700,1991.199
2016-06-20,1780.50,1901.50,1752.50,1872.00,9193500,1795.532
2016-06-13,1770.00,1784.00,1695.00,1766.00,7604300,1693.862
2016-06-06,1685.50,1816.50,1685.50,1780.00,7004400,1707.291
2016-05-30,1675.00,1692.50,1645.00,1676.00,7169400,1607.539
2016-05-23,1678.50,1711.00,1652.00,1675.00,5572100,1606.58
2016-05-16,1714.00,1762.50,1644.10,1680.00,5656900,1611.375
2016-05-09,1749.12,1769.00,1697.00,1726.00,4817300,1623.991
2016-05-02,1779.50,1780.50,1691.00,1742.50,4976100,1639.516
2016-04-25,1808.50,1823.50,1749.00,1779.50,6445200,1674.329
2016-04-18,1774.00,1837.50,1744.03,1814.00,6130300,1706.79
2016-04-11,1734.50,1827.50,1712.00,1814.00,5311100,1706.79
2016-04-04,1660.50,1737.00,1622.00,1733.00,4610300,1630.578
2016-03-28,1677.00,1727.00,1635.00,1668.00,4204100,1569.419
2016-03-21,1691.50,1710.00,1649.52,1677.00,4195900,1577.887
2016-03-14,1673.50,1750.25,1637.50,1697.50,5494700,1597.176
2016-03-07,1673.50,1694.50,1634.50,1669.00,6947000,1570.36
2016-02-29,1628.00,1683.00,1619.50,1677.50,8486600,1578.358
2016-02-22,1584.00,1650.51,1531.00,1641.50,11491500,1544.485
2016-02-15,1545.00,1642.00,1516.00,1563.00,11070400,1470.625
2016-02-08,1547.00,1554.00,1405.50,1525.50,13039100,1406.687
2016-02-01,1526.00,1563.50,1408.00,1535.00,10878600,1415.447
2016-01-25,1409.00,1540.50,1349.00,1518.00,13139400,1399.771
2016-01-18,1346.00,1401.00,1256.00,1387.00,11777600,1278.974
2016-01-11,1368.50,1405.00,1326.00,1351.00,14016300,1245.778
