Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,2822.00,2890.00,2709.50,2727.50,4588000,2727.50
2016-10-24,2695.00,2832.00,2671.00,2831.50,4659600,2831.50
2016-10-17,2607.50,2677.50,2581.50,2668.50,3744200,2668.50
2016-10-10,2692.50,2800.00,2550.05,2596.00,5171900,2596.00
2016-10-03,2561.00,2717.00,2561.00,2676.50,4683800,2676.50
2016-09-26,2510.00,2635.00,2434.50,2574.50,5347100,2574.50
2016-09-19,2305.50,2524.50,2305.50,2519.00,4316700,2519.00
2016-09-12,2292.50,2320.00,2253.50,2279.50,4661000,2279.50
2016-09-05,2340.00,2398.00,2296.00,2350.00,3272800,2350.00
2016-08-30,2397.50,2409.50,2274.00,2327.00,5413800,2327.00
2016-08-22,2435.00,2471.50,2336.00,2467.50,3670000,2467.50
2016-08-15,2402.00,2522.00,2397.00,2446.00,3342100,2446.00
2016-08-08,2511.00,2562.50,2401.50,2409.00,4386900,2409.00
2016-08-01,2484.00,2519.50,2374.00,2484.50,5174900,2450.923
2016-07-25,2372.50,2507.50,2331.50,2461.50,3598900,2428.234
2016-07-18,2425.00,2469.00,2298.00,2363.00,4592600,2331.065
2016-07-11,2416.00,2543.00,2411.50,2469.50,4591700,2436.126
2016-07-04,2392.00,2407.00,2270.50,2368.00,4093800,2335.998
2016-06-27,2105.00,2351.50,2025.00,2345.00,5298100,2313.308
2016-06-20,2054.00,2127.00,1932.00,2077.50,4818800,2049.424
2016-06-13,1922.50,2018.00,1891.00,2005.50,5050700,1978.396
2016-06-06,1970.50,2077.00,1922.34,1942.00,4700500,1915.755
2016-05-30,1964.00,2010.91,1853.00,1895.00,5134600,1869.39
2016-05-23,1940.00,2035.00,1910.50,1964.00,3841500,1937.457
2016-05-16,1980.00,2071.00,1885.50,1952.50,4504000,1926.113
2016-05-09,2058.64,2065.00,1929.00,1992.00,5943200,1965.079
2016-05-02,2300.50,2300.50,2051.00,2133.50,4923300,2104.667
2016-04-25,2315.00,2355.00,2163.50,2300.50,5924800,2269.41
2016-04-18,2187.00,2487.50,2168.00,2334.50,6646200,2302.95
2016-04-11,2000.00,2286.50,1984.00,2230.50,5686300,2200.356
2016-04-04,1950.50,2008.50,1891.00,1987.50,4891000,1960.64
2016-03-28,1937.50,2001.50,1845.00,1943.00,4417800,1916.741
2016-03-21,1999.00,2036.00,1877.00,1937.50,4232300,1911.316
2016-03-14,2018.00,2081.00,1898.50,2015.00,6415700,1987.768
2016-03-07,2156.00,2262.00,1955.50,2000.00,8092800,1972.971
2016-02-29,1834.50,2134.50,1816.00,2130.00,6770100,2101.214
2016-02-22,1965.00,2065.50,1795.00,1860.50,6456700,1835.356
2016-02-15,1872.00,1953.50,1800.50,1891.50,6014800,1792.046
2016-02-08,1850.00,1893.00,1604.50,1847.50,7285600,1750.36
2016-02-01,1720.00,1891.50,1589.00,1818.00,6915600,1722.411
2016-01-25,1667.00,1765.00,1570.50,1714.00,6151800,1623.879
2016-01-18,1629.50,1742.00,1557.00,1653.50,6373800,1566.56
2016-01-11,1723.50,1758.00,1636.00,1643.50,6645100,1557.086
2016-01-04,1960.00,1970.50,1739.00,1739.00,5856900,1647.565
2015-12-28,2006.50,2014.50,1941.50,1979.50,1808600,1875.419
2015-12-21,1853.00,2032.45,1853.00,2006.50,2733200,1901.00
