Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,226.50,226.50,213.65,213.65,56644600,213.65
2016-10-24,224.70,227.85,222.70,227.45,60632900,227.45
2016-10-17,224.25,227.65,222.482,223.55,46086000,223.55
2016-10-10,224.20,228.80,222.40,225.05,48864600,225.05
2016-10-03,222.35,229.35,219.437,223.55,62828200,223.55
2016-09-26,220.20,224.55,219.00,221.75,50799500,221.75
2016-09-19,219.60,226.05,219.41,220.70,56803000,220.70
2016-09-12,220.00,225.45,217.25,218.55,73897700,218.55
2016-09-05,227.20,228.35,220.40,221.30,49375600,221.30
2016-08-30,232.15,234.05,222.60,228.55,70571200,228.55
2016-08-22,235.40,237.55,230.612,233.05,33702700,233.05
2016-08-15,234.95,240.10,234.30,235.05,37910800,235.05
2016-08-08,234.65,239.826,230.30,238.85,39888900,238.85
2016-08-01,231.75,234.70,224.65,233.75,45686600,233.75
2016-07-25,236.70,238.20,227.482,229.55,44460200,229.55
2016-07-18,227.55,236.30,222.30,235.55,60172900,235.55
2016-07-11,229.00,236.12,224.45,227.90,59844200,227.90
2016-07-04,230.65,230.65,222.70,228.00,52683600,228.00
2016-06-27,211.40,230.90,208.45,229.20,94587800,229.20
2016-06-20,215.85,220.80,202.97,219.30,78960100,219.30
2016-06-13,212.90,213.75,207.55,211.20,61417600,211.20
2016-06-06,228.55,233.252,213.00,214.85,50251200,214.85
2016-05-30,232.60,233.95,226.65,228.40,33130800,220.717
2016-05-23,229.00,233.90,224.15,232.60,44030700,224.776
2016-05-16,224.50,230.848,222.10,229.10,53872600,221.394
2016-05-09,220.00,226.40,218.60,224.50,35937500,216.949
2016-05-02,219.20,222.45,216.243,218.75,40635100,211.392
2016-04-25,228.20,229.369,219.10,219.20,47342000,211.827
2016-04-18,228.00,236.00,226.60,228.05,43887400,220.379
2016-04-11,226.80,229.75,224.20,229.75,44706000,222.022
2016-04-04,219.55,228.66,215.05,227.50,49894800,219.848
2016-03-28,218.35,222.95,214.37,220.20,36274100,212.793
2016-03-21,217.30,221.037,214.65,218.35,41054000,211.005
2016-03-14,217.80,221.959,217.05,217.35,45488800,210.039
2016-03-07,220.30,220.30,212.30,217.35,45887600,210.039
2016-02-29,217.05,224.00,216.45,221.25,41317700,213.808
2016-02-22,215.15,220.75,210.80,218.85,49037900,211.489
2016-02-15,209.40,217.85,208.00,212.95,64859100,205.787
2016-02-08,208.05,209.35,197.70,205.45,67006900,198.539
2016-02-01,223.70,233.10,206.30,207.00,90144700,200.037
2016-01-25,221.10,223.90,213.25,223.90,58904200,216.369
2016-01-18,215.45,220.10,208.40,219.45,63363400,212.068
2016-01-11,224.95,225.50,214.35,216.25,55560700,208.976
2016-01-04,219.50,225.75,214.50,223.05,74004000,215.547
2015-12-28,216.65,222.50,214.50,221.00,20562200,213.566
2015-12-21,210.45,217.90,208.60,216.65,30156600,209.363
2015-12-14,208.35,218.05,203.725,211.30,64154200,204.193
2015-12-07,216.95,220.00,208.15,208.15,48949300,201.149
2015-11-30,225.00,226.25,215.00,215.55,52578000,208.30
2015-11-23,223.50,226.588,217.70,225.80,39323000,218.205
2015-11-16,218.10,226.30,217.50,223.50,53541500,215.982
2015-11-09,217.00,228.05,214.35,220.40,70095900,209.487
2015-11-02,213.00,219.95,212.20,216.20,33374300,205.495
2015-10-26,217.95,218.70,212.55,214.25,32001000,203.642
2015-10-19,209.15,219.75,206.95,218.00,44405600,207.206
2015-10-12,211.75,211.75,203.882,209.30,41957400,198.937
2015-10-05,209.65,214.05,203.80,211.95,54231000,201.456
2015-09-28,212.50,213.20,201.25,206.15,81781500,195.943
2015-09-21,215.50,219.75,210.70,217.65,49658900,206.874
2015-09-14,224.35,225.60,209.70,216.75,72764300,206.018
2015-09-07,225.15,232.85,221.85,223.95,43646300,212.862
2015-08-31,226.70,227.55,218.75,223.05,32864800,212.006
2015-08-24,216.70,226.70,209.65,226.70,80082200,215.476
2015-08-17,240.45,241.27,224.885,224.90,38007800,213.765
2015-08-10,243.70,244.50,234.75,239.00,36827200,227.167
2015-08-03,241.20,247.15,239.30,241.85,40581400,229.875
